LncRNA	GenBank	GenBank Link	NONCODE ID	NONCODE Link	Phenotype	OMIM ID	OMIM Link	Enviromental Factor (EF)	KEGG Entry	KEGG Link	DrugBank Entry	DrugBank Link	ChEBI Entry	ChEBI Link	Condition of EF	Sample	Species	Evidence	PubMed ID	PumMed Link		
ENSG00000122952	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	up-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000125089	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	down-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000128604	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	down-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000132819	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	up-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000140474	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	down-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000160352	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	down-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000161960	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	up-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000168826	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	up-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000173039	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	down-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000175556	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	down-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000176715	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	down-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000196387	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	up-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000233122	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	up-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000261098	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	up-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENSG00000270123.2	N/A	N/A	N/A	N/A	Colon Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	Vincristine	D08679	http://www.genome.jp/dbget-bin/www_bget?drug:D08679	DB00541	https://www.drugbank.ca/drugs/DB00541	28445	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28445	Vincristine treatment	HCT-8 cell line	Human	down-regulated	26164760	https://www.ncbi.nlm.nih.gov/pubmed/?term=26164760		
ENST00000457645	N/A	N/A	N/A	N/A	Ovarian Cancer	211980	http://www.omim.org/entry/211980?search=Non-Small%20Cell%20Lung%20Cancer&highlight=non%20cancer%20nonsmall%20cell%20cancerous%20lung%20small%20pulmonary%20pulmonic	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	CP70 cell lline	Human	lncRNA ENST00000457645 negatively affects the viability and migration of cisplatin-resistant CP70 ovarian cancer cells.	28128423	https://www.ncbi.nlm.nih.gov/pubmed/?term=28128423		
ENST00000468960	N/A	N/A	N/A	N/A	Colorectal Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	5-Fluorouracil	C07649	http://www.kegg.jp/dbget-bin/www_bget?C07649	DB00544	https://www.drugbank.ca/drugs/DB00544	46345	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=46345	5-Fu treatment	CRR-HCT116 and HCT116 cell lines	Human	6 differentially expressed lncRNAs between CRR-HCT116 and parental HCT116 cells showed the same trends of up and down-regulation as the microarray data by qRT-PCR. 	25921151	https://www.ncbi.nlm.nih.gov/pubmed/?term=25921151		
ENST00000539009	N/A	N/A	N/A	N/A	Colorectal Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	5-Fluorouracil	C07649	http://www.kegg.jp/dbget-bin/www_bget?C07649	DB00544	https://www.drugbank.ca/drugs/DB00544	46345	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=46345	5-Fu treatment	CRR-HCT116 and HCT116 cell lines	Human	6 differentially expressed lncRNAs between CRR-HCT116 and parental HCT116 cells showed the same trends of up and down-regulation as the microarray data by qRT-PCR. 	25921151	https://www.ncbi.nlm.nih.gov/pubmed/?term=25921151		
ENST00000544591	N/A	N/A	N/A	N/A	Colorectal Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	5-Fluorouracil	C07649	http://www.kegg.jp/dbget-bin/www_bget?C07649	DB00544	https://www.drugbank.ca/drugs/DB00544	46345	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=46345	5-Fu treatment	CRR-HCT116 and HCT116 cell lines	Human	6 differentially expressed lncRNAs between CRR-HCT116 and parental HCT116 cells showed the same trends of up and down-regulation as the microarray data by qRT-PCR. 	25921151	https://www.ncbi.nlm.nih.gov/pubmed/?term=25921151		
ENST00000563280	N/A	N/A	N/A	N/A	Osteosarcoma	211980	http://www.omim.org/entry/211980?search=Non-Small%20Cell%20Lung%20Cancer&highlight=non%20cancer%20nonsmall%20cell%20cancerous%20lung%20small%20pulmonary%20pulmonic	Doxorubicin	C01661	http://www.kegg.jp/dbget-bin/www_bget?C01661	DB00997	https://www.drugbank.ca/drugs/DB00997	28748	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28748	Doxorubicin treatment	MG63 and MG63/DXR	Human	The expression of lncRNA ENST00000563280 (lncRNA OMRUL) in chemoresistance group was about four fold than that of chemosensitivity. group.	26464619	https://www.ncbi.nlm.nih.gov/pubmed/?term=26464619		
ENST00000575202	N/A	N/A	N/A	N/A	Colorectal Cancer	114500	http://www.omim.org/entry/114500?search=Colon%20Cancer&highlight=colonic%20colon%20cancerous%20cancer	5-Fluorouracil	C07649	http://www.kegg.jp/dbget-bin/www_bget?C07649	DB00544	https://www.drugbank.ca/drugs/DB00544	46345	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=46345	5-Fu treatment	CRR-HCT116 and HCT116 cell lines	Human	6 differentially expressed lncRNAs between CRR-HCT116 and parental HCT116 cells showed the same trends of up and down-regulation as the microarray data by qRT-PCR. 	25921151	https://www.ncbi.nlm.nih.gov/pubmed/?term=25921151		
ERIC	N/A	N/A	N/A	N/A	Lung Cancer	211980	http://www.omim.org/entry/211980?search=Lung%20Adenocarcinoma&highlight=lung%20pulmonary%20adenocarcinomatous%20adenocarcinoma%20pulmonic	Etoposide	D00125	http://www.genome.jp/dbget-bin/www_bget?drug:D00125	DB00773	https://www.drugbank.ca/drugs/DB00773	4911	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=4911	Etoposide treatment	H1299 cell line	Human	Silencing of ERIC combined with etoposide resulted in a significant augmentation of etoposide-induced apoptosis.	24168400	https://www.ncbi.nlm.nih.gov/pubmed/?term=24168400		
ERIC	N/A	N/A	N/A	N/A	Osteosarcoma	211980	http://www.omim.org/entry/211980?search=Non-Small%20Cell%20Lung%20Cancer&highlight=non%20cancer%20nonsmall%20cell%20cancerous%20lung%20small%20pulmonary%20pulmonic	Etoposide	D00125	http://www.genome.jp/dbget-bin/www_bget?drug:D00125	DB00773	https://www.drugbank.ca/drugs/DB00773	4911	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=4911	Etoposide treatment	U2OS cell line	Human	Silencing of ERIC combined with etoposide resulted in a significant augmentation of etoposide-induced apoptosis.	24168400	https://www.ncbi.nlm.nih.gov/pubmed/?term=24168400		
ERIC	N/A	N/A	N/A	N/A	Apoptosis	N/A	N/A	E2Fs	N/A	N/A	N/A	N/A	N/A	N/A	E2Fs activation	U2OS and?H1299	Human	ERIC exhibited increased RNA levels upon activation of E2F1 in both cell lines	24168400	https://www.ncbi.nlm.nih.gov/pubmed/?term=24168400		
FABP3P2	NG_001286.5	https://www.ncbi.nlm.nih.gov/nuccore/NG_001286.5	N/A	N/A	Osteoarthritis	140600	http://www.omim.org/entry/140600?search=Osteoarthritis&highlight=osteoarthriti	Interleukin-1¦Â (IL-1¦Â)	N/A	N/A	N/A	N/A	N/A	N/A	Interleukin-1¦Â (IL-1¦Â) stimulation	patients with hip OA, knee OA and fracture of the neck of the femur without OA.	Human	down-regulated	27023358	https://www.ncbi.nlm.nih.gov/pubmed/?term=27023358		
FAM86EP	NR_130742.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_130742.1	NONHSAT094905.2	http://www.noncode.org/show_rna.php?id=NONHSAT094905&version=2&utd=1#	Osteoarthritis	140600	http://www.omim.org/entry/140600?search=Osteoarthritis&highlight=osteoarthriti	Interleukin-1¦Â (IL-1¦Â)	N/A	N/A	N/A	N/A	N/A	N/A	Interleukin-1¦Â (IL-1¦Â) stimulation	patients with hip OA, knee OA and fracture of the neck of the femur without OA.	Human	down-regulated	27023358	https://www.ncbi.nlm.nih.gov/pubmed/?term=27023358		
FENDRR	NR_130109.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_130109.1	NONHSAT144204.2	http://www.noncode.org/show_rna.php?id=NONHSAT144204&version=2&utd=1#	Osteosarcoma	211980	http://www.omim.org/entry/211980?search=Non-Small%20Cell%20Lung%20Cancer&highlight=non%20cancer%20nonsmall%20cell%20cancerous%20lung%20small%20pulmonary%20pulmonic	Doxorubicin	C01661	http://www.kegg.jp/dbget-bin/www_bget?C01661	DB00997	https://www.drugbank.ca/drugs/DB00997	28748	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28748	Doxorubicin treatment	OS cell line	Human	FENDRR expression was down-regulated in the doxorubicin-resistant OS cell lines and tissues and negatively correlated to the poor prognosis of OS patients.	28590934	https://www.ncbi.nlm.nih.gov/pubmed/?term=28590934		
FLJ33534	NR_040080.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_040080.1	N/A	N/A	Prostate Cancer	176807	http://www.omim.org/entry/176807?search=Prostate%20Cancer&highlight=prostatic%20prostate%20cancerous%20cancer	Dihydrotestosterone (DHT)	D07456	http://www.genome.jp/dbget-bin/www_bget?drug:D07456	DB02901	https://www.drugbank.ca/drugs/DB02901	16330	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16330	DHT treatment	LNCaP cell line	Human	down-regulated	27556357	https://www.ncbi.nlm.nih.gov/pubmed/?term=27556357		
FLJ33630	AK090949.1	https://www.ncbi.nlm.nih.gov/nuccore/AK090949.1	N/A	N/A	Cervical Cancer	603956	http://www.omim.org/entry/603956?search=Cervical%20Cancer&highlight=cancerous%20cervical%20cancer	Mercury (II) Oxide	N/A	N/A	N/A	N/A	N/A	N/A	Mercury (II) Oxide treatment	HeLa Tet-off (TO) cell	Human	up-regulated	24036268	https://www.ncbi.nlm.nih.gov/pubmed/?term=24036268		
FLJ36000	NR_027084.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_027084.1	N/A	N/A	Nasopharyngeal Carcinoma	617075	http://www.omim.org/entry/617075?search=Nasopharyngeal%20Carcinoma&highlight=nasopharynx%20nasopharyngeal%20carcinomatous%20carcinoma	Curcumin	C10443	http://www.kegg.jp/dbget-bin/www_bget?C10443	DB11672	https://www.drugbank.ca/drugs/DB11672	3962	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=3962	Curcumin treatemnt (10 micro mol L-1 Cur for 24 h)	CNE-2 cell line	Human	Cur has radiosensitizing effect on human nasopharyngeal carcinoma CNE-2 cells. In the Cur group, the GUCY2GP, H2BFXP, LINC00623 IncRNA were significantly up-regulated and ZRANB2-AS2 LOC100506835, FLJ36000 IncRNA were significantly down-regulated.	24946557	https://www.ncbi.nlm.nih.gov/pubmed/?term=24946557		
FLJ36000	NR_027084.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_027084.1	N/A	N/A	Nasopharyngeal Carcinoma	617075	http://www.omim.org/entry/617075?search=Nasopharyngeal%20Carcinoma&highlight=nasopharynx%20nasopharyngeal%20carcinomatous%20carcinoma	Radiation	N/A	N/A	N/A	N/A	N/A	N/A	Radiation treatment	CNE-2 cell line	Human	Cur has radiosensitizing effect on human nasopharyngeal carcinoma CNE-2 cells. In the Cur group, the GUCY2GP, H2BFXP, LINC00623 IncRNA were significantly up-regulated and ZRANB2-AS2 LOC100506835, FLJ36000 IncRNA were significantly down-regulated.	24946557	https://www.ncbi.nlm.nih.gov/pubmed/?term=24946557		
FOXC2-AS1	NR_125795.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_125795.1	NONHSAT236867.1	http://www.noncode.org/show_rna.php?id=NONHSAT236867&version=1&utd=1#	Osteosarcoma	211980	http://www.omim.org/entry/211980?search=Non-Small%20Cell%20Lung%20Cancer&highlight=non%20cancer%20nonsmall%20cell%20cancerous%20lung%20small%20pulmonary%20pulmonic	Doxorubicin	C01661	http://www.kegg.jp/dbget-bin/www_bget?C01661	DB00997	https://www.drugbank.ca/drugs/DB00997	28748	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28748	Doxorubicin treatment	OS cell line	Human	FOXC2-AS1 is positively up-regulated in doxorubicin-resistant osteosarcoma cell lines and tissues.	28323030	https://www.ncbi.nlm.nih.gov/pubmed/?term=28323030		
FOXO3B	NR_026718.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_026718.1	N/A	N/A	Lung Squamous Cell Carcinoma	211980	http://www.omim.org/entry/211980?search=Lung%20Squamous%20Cell%20Carcinoma&highlight=carcinomatous%20cell%20squamous%20lung%20carcinoma%20pulmonary%20pulmonic	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	Lung SCC patients	Human	up-regulated	25250788	https://www.ncbi.nlm.nih.gov/pubmed/?term=25250788		
FTX	NR_028379.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_028379.1	NONHSAT137581.2	http://www.noncode.org/show_rna.php?id=NONHSAT137581&version=2&utd=1#	Prostate Cancer	176807	http://www.omim.org/entry/176807?search=Prostate%20Cancer&highlight=prostatic%20prostate%20cancerous%20cancer	Dihydrotestosterone (DHT)	D07456	http://www.genome.jp/dbget-bin/www_bget?drug:D07456	DB02901	https://www.drugbank.ca/drugs/DB02901	16330	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16330	DHT treatment	LNCaP cell line	Human	up-regulated	27556357	https://www.ncbi.nlm.nih.gov/pubmed/?term=27556357		
GABPB-AS1	N/A	N/A	N/A	N/A	Cervical Cancer	603956	http://www.omim.org/entry/603956?search=Cervical%20Cancer&highlight=cancerous%20cervical%20cancer	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	cisplatin treatment	HeLa Tet-off (TO) cell	Human	up-regulated	24036268	https://www.ncbi.nlm.nih.gov/pubmed/?term=24036268		
GABPB-AS1	N/A	N/A	N/A	N/A	Cervical Cancer	603956	http://www.omim.org/entry/603956?search=Cervical%20Cancer&highlight=cancerous%20cervical%20cancer	Mercury (II) Oxide	N/A	N/A	N/A	N/A	N/A	N/A	Mercury (II) Oxide treatment	HeLa Tet-off (TO) cell	Human	up-regulated	24036268	https://www.ncbi.nlm.nih.gov/pubmed/?term=24036268		
GAS5	NR_002578.2	http://www.ncbi.nlm.nih.gov/nuccore/NR_002578.2	NONHSAT007662.2	http://www.noncode.org/show_rna.php?id=NONHSAT007662&version=2&utd=1#	Lung Adenocarcinoma	211980	http://www.omim.org/entry/211980?search=Lung%20Adenocarcinoma&highlight=lung%20pulmonary%20adenocarcinomatous%20adenocarcinoma%20pulmonic	Gefitinib	D01977	http://www.kegg.jp/dbget-bin/www_bget?D01977	DB00317?	https://www.drugbank.ca/drugs/DB00317	49668	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=49668	Gefitinib treatment	A549 cell line	Human	Compared with gefitinib treatment alone, all of the cells transfected with GAS5 exhibited a significantly decreased viability, and the IC50?of the A549 cell line was decreased to 3.665?¦ÌM.	25925741	https://www.ncbi.nlm.nih.gov/pubmed/?term=25925741		
GAS5	NR_002578.2	http://www.ncbi.nlm.nih.gov/nuccore/NR_002578.2	NONHSAT007662.2	http://www.noncode.org/show_rna.php?id=NONHSAT007662&version=2&utd=1#	Cervical Cancer	603956	http://www.omim.org/entry/603956?search=Cervical%20Cancer&highlight=cancerous%20cervical%20cancer	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	SCC patients	Human	High expression of GAS5 and low expression of miR-21 can enhance the sensitivity of SiHa/cDDP cancer cells to cisplatin.	28472815	https://www.ncbi.nlm.nih.gov/pubmed/?term=28472815		
GAS5	NR_002578.2	http://www.ncbi.nlm.nih.gov/nuccore/NR_002578.2	NONHSAT007662.2	http://www.noncode.org/show_rna.php?id=NONHSAT007662&version=2&utd=1#	Breast Cancer	114480	http://www.omim.org/entry/114480?search=Breast%20Cancer&highlight=cancerous%20breast%20cancer	5-Fluorouracil	C07649	http://www.kegg.jp/dbget-bin/www_bget?C07649	DB00544	https://www.drugbank.ca/drugs/DB00544	46345	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=46345	5-Fu treatment	MCF7 and T-47D cell lines	Human	GAS5?silencing diminished 5-Fu-induced apoptosis and the associated loss of culture viability in both MCF7 and T-47D cells.	24789445	https://www.ncbi.nlm.nih.gov/pubmed/?term=24789445		
GAS5	NR_002578.2	http://www.ncbi.nlm.nih.gov/nuccore/NR_002578.2	NONHSAT007662.2	http://www.noncode.org/show_rna.php?id=NONHSAT007662&version=2&utd=1#	Nonsense-Mediated Decay	N/A	N/A	Gentamycin	C06563	http://www.kegg.jp/dbget-bin/www_bget?C06563	DB00798	https://www.drugbank.ca/drugs/DB00798	17833	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=17833	Gentamycin treatment	Jurkat, CEM-C7 and BJAB cell lines	Human	GAS5-siRNA significantly protected colony-forming ability after treatment with gentamycin (1.7- to 2-fold) in Jurkat (1.7-fold), CEM-C7 (1.6-fold), and BJAB (1.9-fold) cells.	24319682	https://www.ncbi.nlm.nih.gov/pubmed/?term=24319682		
GAS5	NR_002578.2	http://www.ncbi.nlm.nih.gov/nuccore/NR_002578.2	NONHSAT007662.2	http://www.noncode.org/show_rna.php?id=NONHSAT007662&version=2&utd=1#	Bladder Transitional Cell Carcinoma	109800	http://www.omim.org/entry/109800?search=Bladder%20Cancer&highlight=cancerous%20bladder%20cancer	Doxorubicin	C01661	http://www.kegg.jp/dbget-bin/www_bget?C01661	DB00997	https://www.drugbank.ca/drugs/DB00997	28748	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28748	Doxorubicin treatment	J82 and T24 cell lines	Human	"GAS5 was a prognostic biomarker of disease
free survival for BTCC patients. GAS5 over-expression could inhibit cell
proliferation of BTCC J82 and T24 cells significantly. The IC50 to doxorubicin in
T24/DOX cells (resistance to doxorubicin) presented a conspicuous depression,
GAS5 enhancement reduced the chemotherapy resistance to doxorubicin. "	27878359	https://www.ncbi.nlm.nih.gov/pubmed/?term=27878359		
GAS5	NR_002578.2	http://www.ncbi.nlm.nih.gov/nuccore/NR_002578.2	NONHSAT007662.2	http://www.noncode.org/show_rna.php?id=NONHSAT007662&version=2&utd=1#	Glioma	137800	http://www.omim.org/entry/137800?search=Glioblastoma&highlight=glioblastoma	Doxorubicin	C01661	http://www.kegg.jp/dbget-bin/www_bget?C01661	DB00997	https://www.drugbank.ca/drugs/DB00997	28748	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28748	Doxorubicin treatment	U251 and U87 cell lines	Human	up-regulated	25645334	https://www.ncbi.nlm.nih.gov/pubmed/?term=25645334		
GAS5	NR_002578.2	http://www.ncbi.nlm.nih.gov/nuccore/NR_002578.2	NONHSAT007662.2	http://www.noncode.org/show_rna.php?id=NONHSAT007662&version=2&utd=1#	Prostate Cancer	176807	http://www.omim.org/entry/176807?search=Prostate%20Cancer&highlight=prostatic%20prostate%20cancerous%20cancer	Mitoxantrone	D00208	http://www.kegg.jp/dbget-bin/www_bget?D00208	DB01204	https://www.drugbank.ca/drugs/DB01204	50729	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=50729	Mitoxantrone exposure (200 nM) 	22Rv1 and PC-3 parental cell lines	Human	Reductions in cellular GAS5 levels diminished apoptosis induction and loss of culture viability upon exposure to the chemotherapeutic drugs docetaxel, nutlin-5a and mitoxantrone.?	23676682	https://www.ncbi.nlm.nih.gov/pubmed/?term=23676682		
GAS5	NR_002578.2	http://www.ncbi.nlm.nih.gov/nuccore/NR_002578.2	NONHSAT007662.2	http://www.noncode.org/show_rna.php?id=NONHSAT007662&version=2&utd=1#	Breast Cancer	114480	http://www.omim.org/entry/114480?search=Breast%20Cancer&highlight=cancerous%20breast%20cancer	Docetaxel	C11231	http://www.kegg.jp/dbget-bin/www_bget?C11231	DB01248	https://www.drugbank.ca/drugs/DB01248	4672	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=4672	Docetaxel treatment	MCF7 and T-47D cell lines	Human	GAS5?silencing diminished docetaxel-induced apoptosis and the associated loss of culture viability in both MCF7 and T-47D cells.	24789445	https://www.ncbi.nlm.nih.gov/pubmed/?term=24789445		
GAS5	NR_002578.2	http://www.ncbi.nlm.nih.gov/nuccore/NR_002578.2	NONHSAT007662.2	http://www.noncode.org/show_rna.php?id=NONHSAT007662&version=2&utd=1#	Prostate Cancer	176807	http://www.omim.org/entry/176807?search=Prostate%20Cancer&highlight=prostatic%20prostate%20cancerous%20cancer	Docetaxel	C11231	http://www.kegg.jp/dbget-bin/www_bget?C11231	DB01248	https://www.drugbank.ca/drugs/DB01248	4672	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=4672	Docetaxel exposure (6 nM)	22Rv1 and PC-3 parental cell lines	Human	Reductions in cellular GAS5 levels diminished apoptosis induction and loss of culture viability upon exposure to the chemotherapeutic drugs docetaxel, nutlin-3a and mitoxantrone.?	23676682	https://www.ncbi.nlm.nih.gov/pubmed/?term=23676682		
